"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","description"
"ENSSSAG00000001445",644.603523417073,11.3969230667842,0.76268372233924,528.211389022309,7.01727556442856e-111,6.66683645793096e-110,"TRIM35-13","tripartite motif containing 35-13 [Source:ZFIN;Acc:ZDB-GENE-110920-5]"
"ENSSSAG00000002615",5.13625488560217,1.41404431970426,1.3121754943452,99.5934172252126,3.05051848857335e-19,4.03871606804205e-19,"TRIM16","tripartite motif containing 16 [Source:ZFIN;Acc:ZDB-GENE-090512-6]"
"ENSSSAG00000005112",77.2840269344642,-6.89440880913373,0.540808504056681,293.013839640623,2.56724853035432e-60,8.69792844188674e-60,"TRIM2A","tripartite motif containing 2a [Source:ZFIN;Acc:ZDB-GENE-050327-99]"
"ENSSSAG00000005827",170.163496941861,-10.5387796107073,0.962460738919454,348.705622821697,2.92648090428192e-72,1.28848548407396e-71,"TRIM46B","tripartite motif containing 46b [Source:ZFIN;Acc:ZDB-GENE-060503-466]"
"ENSSSAG00000007291",157.954008735429,-0.565925076107985,0.134582364545136,72.7112837486566,1.13485106712392e-13,1.34715080247452e-13,"TRI13","Tripartite motif-containing protein 13 [Source:NCBI gene (formerly Entrezgene);Acc:100194870]"
"ENSSSAG00000008294",549.314231485424,-3.12138419977635,0.151264495809108,516.252536076538,2.64963169099599e-108,2.39553317153927e-107,"TRIM37","tripartite motif containing 37 [Source:ZFIN;Acc:ZDB-GENE-030131-2957]"
"ENSSSAG00000008335",179.221759682319,1.57852933414796,0.276345323348616,164.527385031599,6.50543370969665e-33,1.1801190515575e-32,"TRIM35-14","tripartite motif containing 35-14 [Source:ZFIN;Acc:ZDB-GENE-110920-6]"
"ENSSSAG00000008703",374.312113771664,-8.14648965243285,0.354488031159027,920.116398172453,1.68169149969008e-195,5.91409912977926e-194,"TRIM2A.1","tripartite motif containing 2a [Source:ZFIN;Acc:ZDB-GENE-050327-99]"
"ENSSSAG00000009437",141.891736454046,1.68465644906392,0.492779245094769,75.4657713160835,3.07776227384674e-14,3.69510357790343e-14,"TRIM69","tripartite motif containing 69 [Source:ZFIN;Acc:ZDB-GENE-030131-857]"
"ENSSSAG00000009598",10.2235756774653,0.713556596848306,1.08802135171014,94.2113741100524,4.03469324776567e-18,5.21779378855474e-18,"TRIM107","tripartite motif containing 107 [Source:ZFIN;Acc:ZDB-GENE-110919-5]"
"ENSSSAG00000009878",44.2522448534507,-1.23254979641348,0.235549162079208,61.843859323632,1.89823876791858e-11,2.16734092408508e-11,"TRIM47","tripartite motif containing 47 [Source:ZFIN;Acc:ZDB-GENE-040426-1000]"
"ENSSSAG00000025371",43.6934750246884,-5.26891209308301,0.583103306509586,245.777585923016,3.27444478446787e-50,8.86107249920779e-50,"TRIM46A","tripartite motif containing 46a [Source:ZFIN;Acc:ZDB-GENE-110825-1]"
"ENSSSAG00000025557",468.116865651727,-0.552408637435572,0.120002066618864,208.59028975319,2.81203005155128e-42,6.34785134207024e-42,"TRIM33","tripartite motif containing 33 [Source:ZFIN;Acc:ZDB-GENE-030131-2773]"
"ENSSSAG00000034367",50.6385075598719,-7.100896595039,0.874762999730373,202.135712978945,6.66158091383214e-41,1.45847967268309e-40,"TRIM9","tripartite motif containing 9 [Source:ZFIN;Acc:ZDB-GENE-030131-8043]"
"ENSSSAG00000040244",122.035451607306,1.67541786369523,0.255707933460758,105.670067286136,1.64167144004339e-20,2.23453835775068e-20,"TRIM32","tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380]"
"ENSSSAG00000044254",154.169393935951,-8.87448559631158,0.74200220789963,521.378949199196,2.08232516546705e-109,1.92429987683271e-108,"TRIM2B","tripartite motif containing 2b [Source:ZFIN;Acc:ZDB-GENE-090312-70]"
"ENSSSAG00000044389",743.0309695467,12.3329922262165,0.825694139200353,552.457942091805,4.16807009671298e-116,4.3669046205471e-115,"TRIM35-13.1","tripartite motif containing 35-13 [Source:ZFIN;Acc:ZDB-GENE-110920-5]"
"ENSSSAG00000044392",214.829004736019,-5.08720462820125,0.501932772759486,376.673788343994,2.88256254192069e-78,1.43204977319951e-77,"TRIM36","tripartite motif containing 36 [Source:ZFIN;Acc:ZDB-GENE-040426-2936]"
"ENSSSAG00000044852",430.727004081644,-0.66302460326603,0.157622730214546,41.4770355578221,2.33197599520573e-07,2.49674173783559e-07,"TRIM33.1","tripartite motif containing 33 [Source:ZFIN;Acc:ZDB-GENE-030131-2773]"
"ENSSSAG00000046769",616.6427765946,0.178346637373585,0.430385927076414,162.521549147604,1.73106659589223e-32,3.10806398686958e-32,"TRIM3A","tripartite motif containing 3a [Source:ZFIN;Acc:ZDB-GENE-080522-4]"
"ENSSSAG00000046838",699.050328738303,-0.229905679734455,0.21275121951316,468.628124062848,4.79699688368698e-98,3.54686768451512e-97,"TRIM25","tripartite motif containing 25 [Source:ZFIN;Acc:ZDB-GENE-040426-797]"
"ENSSSAG00000047165",603.755200311661,-0.0643413124843288,0.247218955567351,457.599589470617,1.13550535586201e-95,8.01243773849631e-95,"TRIM3A.1","tripartite motif containing 3a [Source:ZFIN;Acc:ZDB-GENE-080522-4]"
"ENSSSAG00000049116",68.5911762907791,-1.99466440757583,0.237471778149045,151.929921129431,3.02319544925081e-30,5.15225810051442e-30,"TRIM13","tripartite motif containing 13 [Source:ZFIN;Acc:ZDB-GENE-050522-516]"
"ENSSSAG00000049938",31.240687946898,1.17360377772887,0.892387579081025,1330.99865198765,2.10807191160389e-284,1.9063478874359e-282,"TRIM35-12","tripartite motif containing 35-12 [Source:ZFIN;Acc:ZDB-GENE-110920-4]"
"ENSSSAG00000054152",593.380797347788,0.609505216912577,0.24795098807069,47.0691427504769,1.81264751040186e-08,1.97257664884908e-08,"TRIM25.1","tripartite motif containing 25 [Source:ZFIN;Acc:ZDB-GENE-040426-797]"
"ENSSSAG00000054481",101.924439895811,-8.44920919290605,0.900233585141533,261.649220341093,1.32611654137044e-53,3.87074936034252e-53,"TRIM46B.1","tripartite motif containing 46b [Source:ZFIN;Acc:ZDB-GENE-060503-466]"
"ENSSSAG00000056421",229.809088500843,-4.95570165590689,0.473952846947175,203.904291916348,2.79915776201482e-41,6.17738105520668e-41,"TRIM66","tripartite motif containing 66 [Source:ZFIN;Acc:ZDB-GENE-040724-145]"
"ENSSSAG00000059081",37.6724110301714,-1.18903816520971,0.692174472053435,173.068593496203,1.00465187989293e-34,1.90435026950774e-34,"TRI65","Tripartite motif-containing protein 65 [Source:NCBI gene (formerly Entrezgene);Acc:100196405]"
"ENSSSAG00000060691",408.267282099744,0.933946444859811,0.265003442970193,335.304037771324,2.20100829605025e-69,9.09294448369306e-69,"TRIM105","tripartite motif containing 105 [Source:ZFIN;Acc:ZDB-GENE-060810-140]"
"ENSSSAG00000062994",443.416636393651,-2.14364044529774,0.117673867816778,710.101593048627,4.03084063076206e-150,7.46571034617832e-149,"TRIM37.1","tripartite motif containing 37 [Source:ZFIN;Acc:ZDB-GENE-030131-2957]"
"ENSSSAG00000065497",27.4094035878811,0.144851829941589,0.426195565317966,73.8435428609861,6.63938017892453e-14,7.91879152380268e-14,"TRIM59","tripartite motif containing 59 [Source:ZFIN;Acc:ZDB-GENE-060724-2]"
"ENSSSAG00000067061",92.1935164836755,2.11253256362369,0.222464778684878,292.739021184848,2.93991324198706e-60,9.94593354092459e-60,"TRIM45","tripartite motif containing 45 [Source:ZFIN;Acc:ZDB-GENE-070912-389]"
"ENSSSAG00000067244",109.769148089285,-0.581804851573684,0.217324020532292,104.430468514304,2.98131032913145e-20,4.03460178915975e-20,"TRIM8","tripartite motif containing 8 [Source:HGNC Symbol;Acc:HGNC:15579]"
"ENSSSAG00000068524",177.141562787666,-3.31786149738263,0.432121242217461,86.0555287580556,1.99492520823416e-16,2.49600961641055e-16,"TRIM66.1","tripartite motif containing 66 [Source:ZFIN;Acc:ZDB-GENE-040724-145]"
"ENSSSAG00000069228",301.296895771975,10.5719464746365,0.513258832150478,1273.21280243899,6.81442499435093e-272,5.57178620319356e-270,"TRIM55A","tripartite motif containing 55a [Source:ZFIN;Acc:ZDB-GENE-040718-50]"
"ENSSSAG00000069311",87.6355289976964,-3.0277853086409,0.417307438667755,342.281593953514,7.00242592358925e-71,2.99731933932934e-70,"TRIM67","tripartite motif containing 67 [Source:HGNC Symbol;Acc:HGNC:31859]"
"ENSSSAG00000069323",74.2178651542376,-9.7423123098715,0.751284334857621,590.636629284113,2.43993067042147e-124,2.91862112228076e-123,"TRIM67.1",""
"ENSSSAG00000070895",266.411678486727,6.30690676982485,0.231293559944631,2824.86751173202,0,0,"TRIM101","tripartite motif containing 101 [Source:ZFIN;Acc:ZDB-GENE-040801-100]"
"ENSSSAG00000076355",684.861521216332,0.403505824224342,0.218409593227915,200.523639127481,1.46807697668675e-40,3.19087429274104e-40,"TRIM44","tripartite motif containing 44 [Source:ZFIN;Acc:ZDB-GENE-050522-37]"
"ENSSSAG00000077251",59.9279228509162,0.380137998790629,0.435513375734585,61.2266508517656,2.53481576795139e-11,2.88752545336511e-11,"TRIM69.1","tripartite motif containing 69 [Source:ZFIN;Acc:ZDB-GENE-030131-857]"
"ENSSSAG00000079038",544.00622148846,9.59288033209612,0.349220611448131,2113.32920929529,0,0,"TRIM55A.1","tripartite motif containing 55a [Source:ZFIN;Acc:ZDB-GENE-040718-50]"
"ENSSSAG00000080754",206.136246046143,7.9614085511869,0.616018306757089,444.755802918277,6.60029915629349e-93,4.39650273229889e-92,"TRIM55B","tripartite motif containing 55b [Source:ZFIN;Acc:ZDB-GENE-060312-37]"
"ENSSSAG00000084573",745.639964161306,12.0171031555143,0.910043688957515,428.657935529506,1.91997810231644e-89,1.19989459524862e-88,"TRIM63A","tripartite motif containing 63a [Source:ZFIN;Acc:ZDB-GENE-040625-139]"
"ENSSSAG00000085640",37.0024612155429,-0.0192130945993558,0.933784802800283,700.075374543484,5.89175905129873e-148,1.05538049970936e-146,"TRIM25L","tripartite motif containing 25, like [Source:ZFIN;Acc:ZDB-GENE-040914-87]"
"ENSSSAG00000086871",255.200653210745,-3.98989726005324,0.492165251089375,215.003810033342,1.2089197613163e-43,2.81414435779247e-43,"TRIM16.1","tripartite motif containing 16 [Source:ZFIN;Acc:ZDB-GENE-090512-6]"
"ENSSSAG00000090707",129.906914838254,-8.09293511243377,0.918486146189856,301.148855634585,4.6408514280981e-62,1.63090522921352e-61,"TRIM110","tripartite motif containing 110 [Source:ZFIN;Acc:ZDB-GENE-070912-10]"
"ENSSSAG00000092341",971.404192184371,12.5602726747156,0.733169628979313,744.396789256376,1.58177131711971e-157,3.24854939209824e-156,"TRIM63A.1","tripartite motif containing 63a [Source:ZFIN;Acc:ZDB-GENE-040625-139]"
"ENSSSAG00000092379",35.5068805054884,0.3050594871638,0.932936509928712,553.649355007566,2.30721132137269e-116,2.42634305278441e-115,"TRIM35-12.1","tripartite motif containing 35-12 [Source:ZFIN;Acc:ZDB-GENE-110920-4]"
"ENSSSAG00000093150",31.3324647346441,2.6106098426701,1.00859611037156,189.911189631486,2.65746111745216e-38,5.47866662166543e-38,"TRIM71","tripartite motif containing 71, E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-040128-1]"
"ENSSSAG00000093151",33.591190578657,-1.40742070907074,0.420641235187506,66.8589568719487,1.79870148275518e-12,2.09042455119018e-12,"ENSSSAG00000093151","tripartite motif containing 62, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-070112-502]"
"ENSSSAG00000094514",587.056560022385,-0.428320700175313,0.183745287012514,75.6293228842603,2.84807210183776e-14,3.42112098003938e-14,"ENSSSAG00000094514","tripartite motif containing 8b [Source:ZFIN;Acc:ZDB-GENE-030131-4325]"
"ENSSSAG00000096494",280.918378325705,-1.22901756266145,0.370806135977156,420.782300771259,9.49374742886509e-88,5.73497160752144e-87,"TRIM3B","tripartite motif containing 3b [Source:ZFIN;Acc:ZDB-GENE-070112-1132]"
"ENSSSAG00000097565",38.2507168235456,1.41404662377261,1.03411047358259,403.692831270295,4.49294117647069e-84,2.52483479886806e-83,"TRIM25L.1","tripartite motif containing 25, like [Source:ZFIN;Acc:ZDB-GENE-040914-87]"
"ENSSSAG00000103531",1611.43918587146,9.18881160009662,0.365764913581435,1189.52049278712,8.87199329037803e-254,5.97254066324985e-252,"TRIM63B","tripartite motif containing 63b [Source:ZFIN;Acc:ZDB-GENE-040426-1003]"
"ENSSSAG00000104684",139.605888339564,-4.80303133931065,0.449887343009042,392.535101663419,1.12506643137695e-81,5.9993861728602e-81,"TRIM9.1","tripartite motif containing 9 [Source:ZFIN;Acc:ZDB-GENE-030131-8043]"
"ENSSSAG00000106355",51.0174121987124,-7.71488585769834,0.770463566066636,295.971126612582,5.96986347059552e-61,2.05040020679498e-60,"TRIM46A.1","tripartite motif containing 46a [Source:ZFIN;Acc:ZDB-GENE-110825-1]"
"ENSSSAG00000111255",221.74171531196,0.0596423788476275,0.241284002098301,209.66142565443,1.66276971658654e-42,3.77567247551909e-42,"TRIM32.1","tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380]"
